MLBAMID,Age,RS_per_9,K_per_9,BB_per_9,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,GB_to_FB,HR_to_FB,IFH_pct,FIP,SIERA,Stuff_plus,Location_plus,Pitching_plus,Delta ERA
425844,39,2.38236002,7.14708007,1.58824002,10.3235601,1.58824002,0.27659575,1.32353335,0.30555556,0.6818,0.36842105,0.31578947,0.31578947,1.166666666,0.166666666,0.14285714,4.75504434,4.06478899,89.4515625,102.078125,100.1333333,0.543572884
446372,37,6.75001706,5.40001365,2.02500512,15.5250392,4.05001024,0.37704918,1.95000493,0.36170213,0.6989,0.28301887,0.20754717,0.50943396,0.555555555,0.222222222,0.13333333,8.80505391,5.35455339,97.45,108.7022727,106.5259091,3.186028659
448179,43,1.68749467,7.59372601,4.21873667,8.43747335,0,0.24390244,1.40624556,0.3125,0.5625,0.5,0.25,0.25,2,0,0.0625,3.25503988,4.46408022,94.71893491,94.86686391,97.75207101,-2.197490848
453281,36,3.85714181,6.17142689,0.77142836,10.0285687,2.31428508,0.27659575,1.19999967,0.27777778,0.8333,0.38461538,0.20512821,0.41025641,0.9375,0.1875,0.13333333,5.65574392,4.16336394,74.31556886,99.73233533,94.47125749,0.289288534
456034,35,7.23712052,6.68041894,4.17526184,11.6907331,1.11340316,0.30882353,1.76288833,0.35185185,0.8088,0.4587156,0.28440367,0.25688073,1.785714285,0.142857142,0.12,4.9638465,4.82358606,78.86865942,99.33695652,91.86177536,0.255903987
500779,32,5.14286275,10.9285833,2.8928603,9.00000981,1.92857353,0.25454546,1.32143001,0.31428571,0.8446,0.51315789,0.14473684,0.34210526,1.5,0.23076923,0.02564103,4.59860329,3.18059631,92.27641475,101.2556541,97.59720003,-4.049995449
502179,34,3.80281149,7.60562297,1.5211246,6.84506068,1.14084345,0.1978022,0.92957614,0.22058824,0.6742,0.32394366,0.18309859,0.49295775,0.657142857,0.085714285,0,3.63481838,3.96875876,110.0083799,103.1494413,104.7692737,-1.07746966
502179,35,3.6404453,7.58426105,1.51685221,8.49437237,0.60674088,0.24561404,1.11235829,0.29885058,0.8609,0.34831461,0.21348315,0.43820225,0.794871794,0.051282051,0,2.80905937,3.52398188,102.7693157,102.7896247,104.7002208,-3.685169378
502624,33,4.62855806,6.17141075,2.31427903,9.25711612,0,0.26666667,1.28571057,0.32432432,0.4667,0.33333333,0.22222222,0.44444444,0.75,0,0,2.57003204,4.64496965,92.9654321,101.9246914,100.2938272,-0.764375135
519043,32,2.15999563,6.4799869,2.69999454,8.09998362,1.07999782,0.234375,1.19999757,0.26,0.4651,0.42857143,0.18367347,0.3877551,1.105263157,0.105263157,0.04761905,4.19002825,4.50082186,102.6985401,96.88029197,94.26532847,-1.150310474
527048,30,2.57142857,7.71428571,1.92857143,10.9285714,1.28571429,0.28333333,1.42857143,0.32608696,0.4945,0.54166667,0.14583333,0.3125,1.733333333,0.133333333,0.15384615,4.17003031,3.74946655,84.07379913,102.8222707,100.950655,-0.27
527048,32,5.94000567,6.48000618,2.16000206,7.0200067,0.81000077,0.2184874,1.02000097,0.25,0.8232,0.62765957,0.11702128,0.25531915,2.458333333,0.125,0.03389831,3.97504057,3.64492522,77.01440678,106.1379237,99.32987288,-2.284628134
528748,23,1.54285269,7.71426343,4.62855806,6.17141075,0.77142634,0.18604651,1.19999653,0.21875,0.7143,0.44827586,0.17241379,0.37931034,1.181818181,0.09090909,0,4.11288473,4.7643352,76.92080925,98.76416185,92.37687861,-2.473118159
542888,32,3.375,9.225,1.8,6.075,0.45,0.18243243,0.875,0.23809524,0.7459,0.3364486,0.21495327,0.44859813,0.75,0.041666666,0.11111111,2.75503988,3.41165459,104.2447712,108.995098,108.5962418,1.8
543475,30,6.23076923,4.15384615,2.07692308,5.53846154,0,0.17391304,0.84615385,0.2,0.7273,0.36842105,0.18421053,0.44736842,0.823529411,0,0,2.93926108,5.18403949,87.48678161,94.82758621,92.67068966,-3.312298477
543521,34,5.19230769,10.7307692,1.90384615,7.26923077,0.51923077,0.21761658,1.01923077,0.3046875,0.7874,0.4453125,0.1875,0.3671875,1.212765957,0.063829787,0.07017544,2.28541492,2.84062284,117.3211634,105.1826733,110.2899752,1.90384615
548389,31,6,6,2.4,9,2.4,0.25862069,1.26666667,0.25,0.7639,0.4375,0.1875,0.375,1.166666666,0.222222222,0.04761905,6.30336364,4.5593449,91.16491228,101.1723684,94.61535088,0.708878374
548389,32,3.27272727,9,4.90909091,8.18181818,0.81818182,0.22727273,1.45454546,0.28125,0.6849,0.54545455,0.06060606,0.39393939,1.384615384,0.076923076,0,3.93061163,4.12977181,98.81078431,97.41568627,98.33284314,1.171982286
548389,33,2.26890575,7.48738896,2.04201517,11.3445287,2.49579632,0.30120482,1.48739377,0.31967213,0.7623,0.42857143,0.21052632,0.36090226,1.1875,0.229166666,0.10526316,5.95251671,4.07227047,78.44529412,107.6183824,103.2314706,0.97347609
570632,29,5.6037629,6.62262888,2.54716495,10.6980928,1.01886598,0.29166667,1.47169531,0.33333333,0.6897,0.49152542,0.20338983,0.30508475,1.611111111,0.111111111,0.06896552,4.01908529,4.25213455,90.10357143,93.56571429,91.54107143,-0.869525512
570666,30,6.13635832,6.87272131,3.68181499,8.59090164,1.472726,0.25179856,1.36363518,0.27619048,0.6808,0.55045872,0.16513761,0.28440367,1.93548387,0.193548387,0.06666667,5.02151906,4.06957488,92.75985533,103.5316456,101.5081374,0.613632105
571760,32,5.06248401,11.8124627,4.21873667,9.28122068,0.84374734,0.24444444,1.49999526,0.33333333,0.641,0.43333333,0.16666667,0.4,1.083333333,0.083333333,0.30769231,3.53628899,3.66082998,104.9117371,102.971831,106.2558685,0.979567362
571800,31,5.7446685,8.61700274,6.89360219,6.89360219,0.57446685,0.2,1.5319116,0.25,0.6637,0.37209302,0.1627907,0.46511628,0.8,0.05,0.0625,4.32519316,5.12531149,88.89202899,97.18405797,95.00833333,0.079007969
571927,32,1.6875,8.4375,2.8125,7.3125,0,0.22033898,1.125,0.29545455,0.7,0.48837209,0.27906977,0.23255814,2.1,0,0.14285714,2.69253988,3.66910411,85.02017544,98.76622807,93.95438596,-1.23244382
572070,33,2.73418071,9.5696325,4.10127107,8.20254214,0.34177259,0.23762376,1.36709036,0.31944444,0.578,0.49315068,0.17808219,0.32876712,1.5,0.041666666,0.11111111,2.90420718,3.95062621,105.4016279,101.9806977,104.2481395,-1.80283368
572971,35,6.56758551,8.02704896,5.83785379,11.6757076,0.72973172,0.32,1.94595126,0.39473684,0.7627,0.46153846,0.28205128,0.25641026,1.8,0.1,0.11111111,4.71450333,5.03160275,77.26291667,101.4779167,98.38916667,-1.286623288
579328,31,5.40000993,16.2000298,4.41818994,8.34546988,1.96363997,0.23611111,1.41818443,0.37142857,0.8036,0.38461538,0.30769231,0.30769231,1.25,0.333333333,0.06666667,4.14879535,2.25624148,114.478209,97.89701493,99.46567164,-0.337865902
592346,29,4.29544468,4.90907963,3.06817477,11.0454292,0.61363495,0.30508475,1.56817822,0.34,0.6019,0.36,0.32,0.32,1.125,0.0625,0,3.98821025,5.19791138,91.37625,105.0125,101.2395833,-1.097975075
