MLBAMID,Age,ERA,RS_per_9,K_per_9,BB_per_9,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,GB_to_FB,HR_to_FB,IFH_pct,FIP,Stuff_plus,Location_plus,Pitching_plus,Delta SIERA
425844,39,5.015267176,2.38236002,7.14708007,1.58824002,10.3235601,1.58824002,0.27659575,1.32353335,0.30555556,0.6818,0.36842105,0.31578947,0.31578947,1.166666666,0.166666666,0.14285714,4.75504434,89.4515625,102.078125,100.1333333,-0.548188036
446372,37,6.263995221,6.75001706,5.40001365,2.02500512,15.5250392,4.05001024,0.37704918,1.95000493,0.36170213,0.6989,0.28301887,0.20754717,0.50943396,0.555555555,0.222222222,0.13333333,8.80505391,97.45,108.7022727,106.5259091,0.063427702
448179,43,5.572480188,1.68749467,7.59372601,4.21873667,8.43747335,0,0.24390244,1.40624556,0.3125,0.5625,0.5,0.25,0.25,2,0,0.0625,3.25503988,94.71893491,94.86686391,97.75207101,-0.351720685
453281,36,4.339281636,3.85714181,6.17142689,0.77142836,10.0285687,2.31428508,0.27659575,1.19999967,0.27777778,0.8333,0.38461538,0.20512821,0.41025641,0.9375,0.1875,0.13333333,5.65574392,74.31556886,99.73233533,94.47125749,-1.721996225
456034,35,3.919357853,7.23712052,6.68041894,4.17526184,11.6907331,1.11340316,0.30882353,1.76288833,0.35185185,0.8088,0.4587156,0.28440367,0.25688073,1.785714285,0.142857142,0.12,4.9638465,78.86865942,99.33695652,91.86177536,0.575509602
500779,32,8.228571429,5.14286275,10.9285833,2.8928603,9.00000981,1.92857353,0.25454546,1.32143001,0.31428571,0.8446,0.51315789,0.14473684,0.34210526,1.5,0.23076923,0.02564103,4.59860329,92.27641475,101.2556541,97.59720003,-1.336486145
502179,34,4.5,3.80281149,7.60562297,1.5211246,6.84506068,1.14084345,0.1978022,0.92957614,0.22058824,0.6742,0.32394366,0.18309859,0.49295775,0.657142857,0.085714285,0,3.63481838,110.0083799,103.1494413,104.7692737,-0.485158749
502179,35,5.808762468,3.6404453,7.58426105,1.51685221,8.49437237,0.60674088,0.24561404,1.11235829,0.29885058,0.8609,0.34831461,0.21348315,0.43820225,0.794871794,0.051282051,0,2.80905937,102.7693157,102.7896247,104.7002208,-0.711757949
502624,33,6.935785885,4.62855806,6.17141075,2.31427903,9.25711612,0,0.26666667,1.28571057,0.32432432,0.4667,0.33333333,0.22222222,0.44444444,0.75,0,0,2.57003204,92.9654321,101.9246914,100.2938272,-0.834596117
519043,32,6.550299554,2.15999563,6.4799869,2.69999454,8.09998362,1.07999782,0.234375,1.19999757,0.26,0.4651,0.42857143,0.18367347,0.3877551,1.105263157,0.105263157,0.04761905,4.19002825,102.6985401,96.88029197,94.26532847,-0.857971043
527048,30,4.77,2.57142857,7.71428571,1.92857143,10.9285714,1.28571429,0.28333333,1.42857143,0.32608696,0.4945,0.54166667,0.14583333,0.3125,1.733333333,0.133333333,0.15384615,4.17003031,84.07379913,102.8222707,100.950655,-0.875401284
527048,32,4.984630714,5.94000567,6.48000618,2.16000206,7.0200067,0.81000077,0.2184874,1.02000097,0.25,0.8232,0.62765957,0.11702128,0.25531915,2.458333333,0.125,0.03389831,3.97504057,77.01440678,106.1379237,99.32987288,-1.782851999
528748,23,5.558823529,1.54285269,7.71426343,4.62855806,6.17141075,0.77142634,0.18604651,1.19999653,0.21875,0.7143,0.44827586,0.17241379,0.37931034,1.181818181,0.09090909,0,4.11288473,76.92080925,98.76416185,92.37687861,-0.582235183
542888,32,0,3.375,9.225,1.8,6.075,0.45,0.18243243,0.875,0.23809524,0.7459,0.3364486,0.21495327,0.44859813,0.75,0.041666666,0.11111111,2.75503988,104.2447712,108.995098,108.5962418,0.085487445
543475,30,5.389221557,6.23076923,4.15384615,2.07692308,5.53846154,0,0.17391304,0.84615385,0.2,0.7273,0.36842105,0.18421053,0.44736842,0.823529411,0,0,2.93926108,87.48678161,94.82758621,92.67068966,0.510411999
543521,34,0,5.19230769,10.7307692,1.90384615,7.26923077,0.51923077,0.21761658,1.01923077,0.3046875,0.7874,0.4453125,0.1875,0.3671875,1.212765957,0.063829787,0.07017544,2.28541492,117.3211634,105.1826733,110.2899752,-0.138851092
548389,31,4.691121626,6,6,2.4,9,2.4,0.25862069,1.26666667,0.25,0.7639,0.4375,0.1875,0.375,1.166666666,0.222222222,0.04761905,6.30336364,91.16491228,101.1723684,94.61535088,0.239289345
